loc;unit size
|java+compilationUnit:///src/smallsql/database/CommandInsert.java|(2408,1707,<73,4>,<110,5>);32
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(67818,1669,<1763,4>,<1803,5>);32
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(27309,1649,<646,4>,<682,5>);32
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(51459,1062,<1348,4>,<1383,5>);32
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(3410,1196,<107,4>,<137,5>);31
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(8325,1394,<219,4>,<258,5>);31
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(10317,1645,<274,4>,<313,2>);31
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(13983,1031,<412,4>,<444,5>);31
|java+compilationUnit:///src/smallsql/database/ExpressionValue.java|(18930,1441,<569,4>,<599,2>);31
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionAbs.java|(2240,1348,<72,4>,<102,5>);31
|java+compilationUnit:///src/smallsql/database/LongTreeList.java|(8850,1245,<317,1>,<353,2>);30
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(8094,1998,<244,1>,<287,2>);30
|java+compilationUnit:///src/smallsql/database/ExpressionValue.java|(13986,1138,<423,1>,<452,5>);30
|java+compilationUnit:///src/smallsql/database/SSDriver.java|(2140,1582,<66,4>,<104,5>);30
|java+compilationUnit:///src/smallsql/database/LongTreeList.java|(15155,1150,<526,1>,<562,2>);30
|java+compilationUnit:///src/smallsql/junit/TestStatement.java|(4294,1624,<123,4>,<157,5>);30
|java+compilationUnit:///src/smallsql/junit/TestLanguage.java|(2957,837,<99,1>,<132,2>);30
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(34904,1339,<984,4>,<1015,5>);30
|java+compilationUnit:///src/smallsql/database/SortedResult.java|(4047,1013,<143,1>,<172,2>);30
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(37449,1057,<1054,4>,<1090,5>);30
|java+compilationUnit:///src/smallsql/database/Index.java|(13781,865,<400,1>,<433,2>);30
|java+compilationUnit:///src/smallsql/junit/TestExceptionMethods.java|(9622,965,<278,4>,<307,5>);30
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(28985,1287,<687,4>,<721,5>);29
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(15290,824,<572,1>,<604,2>);29
|java+compilationUnit:///src/smallsql/database/CommandDrop.java|(1628,1162,<47,4>,<75,5>);29
|java+compilationUnit:///src/smallsql/database/SQLTokenizer.java|(29959,1269,<748,4>,<776,5>);29
|java+compilationUnit:///src/smallsql/junit/TestDBMetaData.java|(12446,2219,<257,4>,<289,5>);29
|java+compilationUnit:///src/smallsql/database/ExpressionValue.java|(15226,1037,<458,1>,<486,5>);29
|java+compilationUnit:///src/smallsql/database/Database.java|(18311,1306,<511,1>,<545,2>);29
|java+compilationUnit:///src/smallsql/database/Table.java|(2302,1142,<64,1>,<98,5>);28
|java+compilationUnit:///src/smallsql/database/Index.java|(12331,909,<344,1>,<375,2>);28
|java+compilationUnit:///src/smallsql/database/Table.java|(16178,1278,<454,1>,<488,2>);28
|java+compilationUnit:///src/smallsql/database/Database.java|(2063,1466,<59,1>,<94,5>);28
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(16429,1610,<449,4>,<481,5>);28
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(25903,1379,<609,4>,<641,5>);28
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(5667,1705,<165,4>,<214,5>);28
|java+compilationUnit:///src/smallsql/database/IndexDescription.java|(5250,1192,<168,4>,<195,5>);28
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(15137,1372,<368,4>,<400,5>);28
|java+compilationUnit:///src/smallsql/database/Database.java|(17286,1016,<480,1>,<508,2>);28
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(32326,1432,<875,4>,<901,5>);27
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(17938,1105,<544,4>,<570,5>);27
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(1470,1085,<43,1>,<74,2>);27
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(10455,814,<381,1>,<411,2>);27
|java+compilationUnit:///src/smallsql/database/MutableNumeric.java|(1719,776,<52,4>,<78,5>);27
|java+compilationUnit:///src/smallsql/junit/TestGroupBy.java|(1760,981,<59,1>,<89,2>);27
|java+compilationUnit:///src/smallsql/database/SQLTokenizer.java|(27796,1049,<696,4>,<722,5>);27
|java+compilationUnit:///src/smallsql/junit/BasicTestCase.java|(4257,1021,<124,4>,<152,5>);27
|java+compilationUnit:///src/smallsql/database/MutableNumeric.java|(8836,848,<315,1>,<342,2>);27
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(13230,1090,<388,4>,<414,5>);27
|java+compilationUnit:///src/smallsql/database/Scrollable.java|(4030,681,<154,1>,<180,2>);26
|java+compilationUnit:///src/smallsql/database/SSPreparedStatement.java|(7807,865,<235,4>,<260,2>);26
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(6652,1073,<197,1>,<228,2>);26
|java+compilationUnit:///src/smallsql/junit/TestExceptions.java|(3772,986,<86,4>,<111,5>);26
|java+compilationUnit:///src/smallsql/database/DateTime.java|(8780,919,<301,4>,<330,2>);26
|java+compilationUnit:///src/smallsql/database/MutableNumeric.java|(15430,1154,<535,4>,<563,5>);26
|java+compilationUnit:///src/smallsql/junit/TestStatement.java|(2980,1296,<91,4>,<120,5>);26
|java+compilationUnit:///src/smallsql/database/MutableNumeric.java|(11059,1299,<419,4>,<453,5>);26
|java+compilationUnit:///src/smallsql/junit/AllTests.java|(3281,1265,<98,4>,<123,5>);26
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(17051,877,<514,4>,<541,5>);26
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(6307,1369,<160,4>,<190,5>);26
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(11717,975,<348,4>,<373,5>);26
|java+compilationUnit:///src/smallsql/database/SQLTokenizer.java|(33785,1125,<835,1>,<861,2>);26
|java+compilationUnit:///src/smallsql/database/IndexNode.java|(12149,721,<422,1>,<448,2>);25
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(20950,875,<788,1>,<818,2>);25
|java+compilationUnit:///src/smallsql/database/JoinScrollIndex.java|(2518,818,<83,4>,<108,5>);25
|java+compilationUnit:///src/smallsql/junit/TestDeleteUpdate.java|(2319,1238,<79,1>,<108,2>);25
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(10231,887,<308,4>,<332,5>);25
|java+compilationUnit:///src/smallsql/junit/TestDeleteUpdate.java|(3563,1343,<110,1>,<140,2>);25
|java+compilationUnit:///src/smallsql/database/IndexNode.java|(11207,768,<380,1>,<408,2>);25
|java+compilationUnit:///src/smallsql/database/SQLTokenizer.java|(32226,1147,<799,4>,<823,5>);25
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(7115,888,<219,1>,<243,5>);25
|java+compilationUnit:///src/smallsql/junit/TestDBMetaData.java|(10665,1763,<224,4>,<254,5>);25
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(8661,882,<261,4>,<285,5>);25
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(5379,1073,<175,4>,<202,5>);25
|java+compilationUnit:///src/smallsql/database/TableResult.java|(5306,942,<175,4>,<202,5>);25
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionTimestampDiff.java|(1520,780,<44,1>,<68,2>);25
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionTruncate.java|(1599,529,<45,4>,<68,5>);24
|java+compilationUnit:///src/smallsql/database/GroupResult.java|(3653,1139,<98,1>,<128,2>);24
|java+compilationUnit:///src/smallsql/junit/BenchTest.java|(4122,1320,<103,4>,<131,5>);24
|java+compilationUnit:///src/smallsql/junit/TestOther.java|(11536,1145,<280,4>,<307,5>);24
|java+compilationUnit:///src/smallsql/database/Table.java|(6221,1189,<187,4>,<217,5>);24
|java+compilationUnit:///src/smallsql/junit/TestResultSet.java|(5880,1303,<154,4>,<182,5>);24
